date,close
18-Jan-11,8
19-Jan-11,11
20-Jan-11,2
21-Jan-11,5
22-Jan-11,1
24-Jan-11,14
25-Jan-11,6
26-Jan-11,6
27-Jan-11,3
28-Jan-11,2
29-Jan-11,1
30-Jan-11,3
31-Jan-11,12
8-Jan-11,1
9-Jan-11,2
10-Jan-11,2
11-Jan-11,1
13-Jan-11,3
14-Jan-11,3
15-Jan-11,1
16-Jan-11,1
17-Jan-11,2
20-Jan-11,3
21-Jan-11,1
22-Jan-11,3
23-Jan-11,3
